Cell_ID,Cell_Type,Disease_Status,Gene_E_Housekeeping,Gene_A_Oncogene,Gene_B_Immune,Gene_C_Stromal,Gene_D_Therapy,Pathway_Score_Inflam,UMAP_1
C0001,Cancer,Tumor,5.406546751272782,16.83787336209089,2.198207279737685,3.9541398696030785,9.991345334964224,5.940603980454617,2.2733516321850784
C0002,Cancer,Tumor,5.128071629670562,11.90194742833852,4.221053188586188,5.838218506280456,7.926908491870606,5.825361955531193,0.17060243529623165
C0003,Cancer,Tumor,4.101027171151062,10.71583100708008,3.899389112485351,3.9211664036264877,12.00168574715407,7.487550442870477,2.2906028915257215
C0004,Cancer,Tumor,4.489788911077676,13.642452191952438,2.83177840091216,4.315578277556067,10.696940736680679,6.562109064733729,-2.05015751371779
C0005,Cancer,Tumor,4.674549447335537,15.688982145035228,3.4990251304891564,4.729736415968956,11.530267805939616,8.618023983746415,1.1441360901791957
C0006,Cancer,Tumor,5.408018182803374,14.7760823764742,3.0468641496753848,3.7163747889146035,9.934219839942273,7.3375835042652255,1.8677111787868559
C0007,Cancer,Tumor,4.4940189435764495,13.5352512262745,1.547400328378005,3.111521789047709,11.10778191304458,7.440820416459943,-0.23172344307467752
C0008,Cancer,Tumor,4.564663822508198,14.78344173540038,3.5895163200805893,3.2709154234904956,10.856725516374796,5.015422247393862,3.00140457785741
C0009,Cancer,Healthy_Control,5.798737657925572,14.87507842633705,2.4513938275087965,4.766752188546446,11.38300823947559,4.820556362511651,0.761077352922867
C0010,Cancer,Tumor,4.8002586672036465,16.88773057963325,4.011495107495422,3.1697647840749483,9.298817794781328,8.445203264960892,2.2876148448223788
C0011,Cancer,Healthy_Control,4.951368096826701,14.753413840702933,2.3881751813216012,4.079642051796162,9.961535139125711,6.103931710286262,1.3657375197365584
C0012,Cancer,Healthy_Control,5.360945439230105,10.761033134854456,1.9865780046639574,3.146271169293267,8.51458989024443,6.903253963165174,1.4011961495144805
C0013,Cancer,Tumor,5.630629948304303,13.970392553535557,3.197724096563944,3.884211828950975,8.888659518634272,4.850222808598083,1.716309097099479
C0014,Cancer,Tumor,4.34168751435707,14.215178623817026,0.9199587441199348,4.13512944701465,8.48706235303998,7.18839777758822,1.3090809334831905
