Cell_ID,Cell_Type,Disease_Status,Gene_E_Housekeeping,Gene_A_Oncogene,Gene_B_Immune,Gene_C_Stromal,Gene_D_Therapy,Pathway_Score_Inflam,UMAP_1
S0001,Cancer,Tumor,4.914442090156693,14.66043418217269,2.50138340906664,4.701493661132683,9.523683415632973,4.355379287019241,1.553389121793845
S0002,Cancer,Tumor,4.972463408542248,11.286029192266763,5.866590043101654,2.7817145370031744,11.025019801791407,7.025219699992154,0.2558630684101708
S0003,Cancer,Tumor,3.9587071929474247,14.266441485956523,1.8518987135952618,3.503166506396125,11.000684992625787,7.148715093374675,1.6360467719277103
S0004,Cancer,Tumor,4.790426769821369,14.744303096023739,3.818069995219405,4.150700604779578,9.766673278436754,5.865583412526848,0.41398929504604065
S0005,Cancer,Tumor,5.392860546274758,14.676687638338885,2.6041454629059086,2.7945536167521188,9.242448649214216,7.9214996561300755,2.2928550880262537
S0006,Cancer,Tumor,4.309467012746683,14.807042341656562,1.7435145955543294,4.942475683438633,7.683316532954552,6.064811827545418,1.7151327792092654
S0007,Cancer,Tumor,4.8373166073246985,12.746931294234955,1.7720068137272054,3.897194068562753,10.321158890308004,4.897328034010612,0.9490752309875047
S0008,Cancer,Tumor,5.137465787012186,13.88772106805406,3.9456325590203596,3.006466551573737,10.453838036245129,5.664602996375603,1.269554080394707
S0009,Cancer,Tumor,4.453788115197595,15.080463628467408,3.3553752582996146,2.9033681424531954,9.98447910600706,8.431594140524682,1.6595145483221954
S0010,Cancer,Tumor,5.635361833704637,15.672590218141552,1.715250586216574,1.0777786778586922,8.689187390549534,5.874657673503563,1.8522823874882675
S0011,Cancer,Tumor,5.212724160943882,15.601058342084501,1.863592086949678,2.639177674334212,8.857771548317672,5.717836939940068,1.5717237156362907
S0012,Cancer,Tumor,5.481646709704103,12.936817284376517,3.811521453624023,4.52530434814751,9.096184755468828,7.764910475997361,2.4983972893062965
S0013,Cancer,Tumor,3.2355718456034688,11.754855814297962,1.73377746932736,3.330501020875853,10.579130797996832,4.545722169416711,1.389439067380466
S0014,Cancer,Tumor,5.441711265899245,13.254149910938976,4.654268238924708,2.419869630711582,10.789475021560463,6.024334390219273,1.107456015191995
S0015,Cancer,Tumor,4.803584585662331,14.772037957032477,4.186516014457099,3.210181383003795,10.00668739169761,8.798488253919857,2.868726105227644
S0016,Cancer,Tumor,4.95631517813821,14.663154775200868,2.7177551194412675,4.829523995879759,9.11378298664957,7.121564524572577,2.375322698741095
S0017,Cancer,Tumor,5.191196703193757,13.390688968379722,2.268680023394788,4.247780620676587,9.41387264093988,4.611532037414728,0.5541806005896655
S0018,Cancer,Tumor,4.476778968803589,12.866691530970561,2.131496034069042,0.635048937441173,11.324283117322008,6.947806159972518,2.0869483752419615
S0019,Cancer,Tumor,5.549306000603425,16.025277107481656,2.808430880618239,4.837954878585125,9.275388528661535,7.724867626580048,0.4395158168287363
S0020,Cancer,Tumor,5.411227711307679,13.830961055768784,2.9902441973760063,4.057208391751673,8.75093500117666,7.08435771114885,2.4549450336686225
S0021,Cancer,Tumor,4.90516230297447,10.973088678244729,3.163620658070383,5.851768889092556,10.284007463629708,9.443210047606998,1.6119629667117457
S0022,Cancer,Tumor,5.886211746182618,15.1488484047871,2.680312002340373,2.9572011232375295,10.40533120140226,8.219559346681947,3.082832927240394
S0023,Cancer,Tumor,4.871549325542378,14.29607932073569,3.4186414507397944,3.46079285468421,10.848098595944645,8.026701198928262,1.5329800549393384
S0024,Cancer,Tumor,5.508245543439045,14.971604766213945,2.521662606734774,3.4947586672014785,9.522678002232297,6.732973393581917,0.755713267342969
